Participant ID,sex,key,DD,DS,N/A,SS,SSandDS,SS-DD,SS-DS,DS-DD,DSSS-DD,SSDD,SSDS,DSDD,DSSSDD,wSS,wDS,wDD,wSSandDS
104,male,104,1,8,1,6,14,5,-2,7,13,1.9974266392706816,-1.0206102242877344,2.739951778479282,13.6953125,2.000600180054016,2.005565444107398,0.1248127808287568,2.003434459072696
108,male,108,1,5,1,3,8,2,-2,4,7,1.3989706557082726,-1.0206102242877344,1.994258159131018,7.835937500000001,1.000300090027008,1.2534784025671235,0.1248127808287568,1.1448196908986834
111,male,111,6,3,1,6,9,0,3,-3,3,1.0,4.030915336431602,0.2543063806517363,3.9296875,2.000600180054016,0.7520870415402743,0.7488766849725411,1.287922152261019
112,male,112,1,5,1,9,14,8,4,4,13,2.5958826228330905,5.041220448575469,1.994258159131018,13.6953125,3.0009002700810243,1.2534784025671235,0.1248127808287568,2.003434459072696
124,male,124,2,4,1,9,13,7,5,2,11,2.396397294978954,6.051525560719337,1.4971290795655092,11.7421875,3.0009002700810243,1.002782722053699,0.2496255616575137,1.8603319977103605
130,male,130,1,10,1,4,14,3,-6,9,13,1.598455983562409,-5.061830672863203,3.237080858044791,13.6953125,1.333733453369344,2.5069568051342475,0.1248127808287568,2.003434459072696
134,male,134,1,7,1,7,14,6,0,6,13,2.196911967124818,1.0,2.491387238696527,13.6953125,2.334033543396352,1.7548697635939732,0.1248127808287568,2.003434459072696
135,male,135,1,8,1,6,14,5,-2,7,13,1.9974266392706816,-1.0206102242877344,2.739951778479282,13.6953125,2.000600180054016,2.005565444107398,0.1248127808287568,2.003434459072696
136,male,136,1,11,1,3,14,2,-8,10,13,1.3989706557082726,-7.082440897150938,3.485645397827545,13.6953125,1.000300090027008,2.757652485647672,0.1248127808287568,2.003434459072696
138,male,138,2,3,1,3,6,1,0,1,4,1.1994853278541364,1.0,1.2485645397827545,4.90625,1.000300090027008,0.7520870415402743,0.2496255616575137,0.8586147681740125
141,male,141,1,6,1,8,14,7,2,5,13,2.396397294978954,3.020610224287734,2.2428226989137725,13.6953125,2.667466906738688,1.5041740830805486,0.1248127808287568,2.003434459072696
142,male,142,7,3,1,5,8,-2,2,-4,1,0.6010293442917274,3.020610224287734,0.0057418408689817,1.9765625,1.6671668167116802,0.7520870415402743,0.873689465801298,1.1448196908986834
145,male,145,6,6,1,3,9,-3,-3,0,3,0.401544016437591,-2.030915336431601,1.0,3.9296875,1.000300090027008,1.5041740830805486,0.7488766849725411,1.287922152261019
149,male,149,5,2,1,4,6,-1,2,-3,1,0.8005146721458637,3.020610224287734,0.2543063806517363,1.9765625,1.333733453369344,0.5013913610268494,0.6240639041437843,0.8586147681740125
167,male,167,7,4,1,4,8,-3,0,-3,1,0.401544016437591,1.0,0.2543063806517363,1.9765625,1.333733453369344,1.002782722053699,0.873689465801298,1.1448196908986834
174,male,174,5,4,1,6,10,1,2,-1,5,1.1994853278541364,3.020610224287734,0.7514354602172454,5.8828125,2.000600180054016,1.002782722053699,0.6240639041437843,1.4310246136233542
177,male,177,8,6,1,1,7,-7,-5,-2,-1,-0.3963972949789542,-4.051525560719336,0.5028709204344909,0.0234375,0.333433363342336,1.5041740830805486,0.9985022466300548,1.001717229536348
178,male,178,1,10,1,4,14,3,-6,9,13,1.598455983562409,-5.061830672863203,3.237080858044791,13.6953125,1.333733453369344,2.5069568051342475,0.1248127808287568,2.003434459072696
182,male,182,6,8,1,1,9,-5,-7,2,3,0.0025733607293183,-6.07213578500707,1.4971290795655092,3.9296875,0.333433363342336,2.005565444107398,0.7488766849725411,1.287922152261019
189,male,189,8,4,1,3,7,-5,-1,-4,-1,0.0025733607293183,-0.0103051121438672,0.0057418408689817,0.0234375,1.000300090027008,1.002782722053699,0.9985022466300548,1.001717229536348
194,male,194,4,1,1,10,11,6,9,-3,7,2.196911967124818,10.092746009294803,0.2543063806517363,7.835937500000001,3.3343336334233604,0.2506956805134247,0.4992511233150274,1.5741270749856895
195,male,195,6,2,1,4,6,-2,2,-4,0,0.6010293442917274,3.020610224287734,0.0057418408689817,1.0,1.333733453369344,0.5013913610268494,0.7488766849725411,0.8586147681740125
