Participant ID,sex,Label,ss_mean,ds_mean,dd_mean,all_mean,ss_ds_mean,DS-SS,DD-SS,DD-DS,DD-SSDS
102,female,102,1.0686924158796167,1.3736307603804194,1.2518663094283202,1.2477020509724726,1.242942898451504,0.3049383445008027,0.1831738935487035,-0.1217644509520992,0.0089234109768161
103,female,103,1.1140572492627814,1.4868999772747662,1.3962199419816703,1.363968746182718,1.3271102366982015,0.3728427280119848,0.2821626927188889,-0.0906800352930958,0.0691097052834688
106,female,106,1.033789972670038,1.1305052376924447,1.121959832762062,1.106604635391759,1.0890558383971276,0.0967152650224068,0.0881698600920239,-0.0085454049303828,0.0329039943649343
107,female,107,1.2169082101702526,1.2148720672867093,1.1652285797699218,1.188802769187798,1.215744699951085,-0.0020361428835433,-0.0516796304003308,-0.0496434875167874,-0.0505161201811632
113,female,113,0.9545244644783684,1.0593186479213,1.0021911449817087,1.0078918096649316,1.0144068550171863,0.1047941834429319,0.0476666805033404,-0.0571275029395914,-0.0122157100354778
114,female,114,1.014030880265748,0.9688133162255792,0.9843466854120682,0.9861412925997404,0.9881922722427944,-0.0452175640401688,-0.0296841948536799,0.0155333691864889,-0.0038455868307262
115,female,115,0.9215100071489384,1.306166956708141,1.093412401736777,1.115766470811573,1.1413139783256256,0.3846569495592029,0.1719023945878386,-0.2127545549713643,-0.0479015765888486
116,female,116,1.1751960293637158,1.139876153788817,1.1931147632252952,1.175334053936585,1.155013243320916,-0.0353198755748989,0.0179187338615793,0.0532386094364782,0.038101519904379
118,female,118,1.1355204301961026,1.498139643957813,1.3393258431399446,1.3409151074359411,1.3427314094885088,0.3626192137617103,0.203805412943842,-0.1588138008178683,-0.0034055663485641
119,female,119,0.9928467532250213,1.0878494320141778,1.0354974959005818,1.0409278636624286,1.0471339982473966,0.0950026787891566,0.0426507426755606,-0.052351936113596,-0.0116365023468147
120,female,120,1.0503236369760758,1.0015569091005736,1.084283273349657,1.0554309822751853,1.0224569353329318,-0.0487667278755021,0.0339596363735812,0.0827263642490834,0.0618263380167252
121,female,121,0.9973484197121404,1.296829282023853,1.1654461872709474,1.1668621256932945,1.168480341033119,0.2994808623117125,0.168097767558807,-0.1313830947529055,-0.0030341537621716
123,female,123,1.0430267982668942,1.129872395024523,1.259858754056518,1.1818293338233947,1.092652853556968,0.0868455967576289,0.2168319557896239,0.1299863590319949,0.1672059004995501
125,female,125,1.079851189046882,1.4096052908165702,1.2793465505179251,1.274183142303355,1.2682821043438466,0.3297541017696881,0.199495361471043,-0.130258740298645,0.0110644461740785
