Participant ID,sex,Label,ss_mean,ds_mean,dd_mean,all_mean,ss_ds_mean,DS-SS,DD-SS,DD-DS,DD-SSDS
104,male,104,1.1876283392730782,1.1845948711484755,1.1871495517698083,1.1865640611047736,1.1858949289161624,-0.0030334681246027,-0.0004787875032696,0.002554680621333,0.001254622853646
108,male,108,1.0721394187888242,1.5262824287220795,1.4784312910115216,1.4099332199564645,1.331649710179256,0.4541430099332553,0.4062918722226973,-0.0478511377105579,0.1467815808322656
111,male,111,1.1751207627971652,1.3410276370722236,1.3512374786754822,1.313291511072283,1.2699246909543416,0.1659068742750584,0.176116715878317,0.0102098416032585,0.0813127877211405
112,male,112,1.16458008638953,1.3468432316745116,1.2233945641044366,1.244551313246809,1.2687304551238052,0.1822631452849816,0.0588144777149066,-0.123448667570075,-0.0453358910193686
124,male,124,1.0630267233854491,1.140086783205009,1.1290529409978185,1.118790055397262,1.107061043282341,0.0770600598195598,0.0660262176123693,-0.0110338422071905,0.0219918977154778
130,male,130,1.0843917042490654,1.1237390362416386,1.1376116629349555,1.1232683040795597,1.1068758939591072,0.0393473319925732,0.0532199586858901,0.0138726266933169,0.0307357689758482
134,male,134,1.1761499456777804,1.210113285438966,1.2116563244733805,1.2041435716384166,1.1955575683984578,0.0339633397611855,0.0355063787956,0.0015430390344144,0.0160987560749226
135,male,135,1.0908339988431377,1.1571820904149248,1.4540665247487032,1.3022508370785826,1.128747194027016,0.0663480915717871,0.3632325259055655,0.2968844343337784,0.3253193307216873
136,male,136,1.249223095398037,1.2098842163746997,1.2581981654775771,1.2435194317009015,1.2267437359561302,-0.0393388790233373,0.0089750700795401,0.0483139491028774,0.0314544295214469
138,male,138,1.186925854613295,1.2739245437623288,1.2443371013564992,1.2407448366494132,1.236639391269886,0.0869986891490337,0.0574112467432041,-0.0295874424058295,0.0076977100866133
141,male,141,1.0556584835077507,1.1665904788076429,1.1255480510233586,1.1225147849293795,1.119048195107689,0.1109319952998919,0.0698895675156079,-0.041042427784284,0.0064998559156697
142,male,142,1.2163716940382845,1.3570425109521824,1.3989658194154373,1.351267445416472,1.2967550179890832,0.1406708169138981,0.182594125377153,0.0419233084632548,0.102210801426354
145,male,145,1.1611543860364566,1.128418926049951,1.1543425868603987,1.1487919704794909,1.1424484089013107,-0.0327354599865055,-0.0068117991760578,0.0259236608104476,0.0118941779590879
149,male,149,1.0049975192741882,1.2431044200195396,1.2229772161708246,1.1847485311511543,1.1410586054143887,0.2381069007453513,0.2179796968966363,-0.020127203848715,0.0819186107564358
167,male,167,1.3120956141689717,1.1353167222125449,1.1967286436198092,1.2034255253543713,1.211079104479585,-0.1767788919564266,-0.1153669705491622,0.0614119214072643,-0.0143504608597757
174,male,174,1.2031191924896976,1.305138733852711,1.2728847967938393,1.2675327258153766,1.2614160732685622,0.1020195413630133,0.0697656043041416,-0.0322539370588716,0.011468723525277
177,male,177,1.1771993276621393,1.1762495340161805,1.1852220138624396,1.1812248153300435,1.176656588435877,-0.000949793645959,0.0080226862003003,0.0089724798462593,0.0085654254265625
178,male,178,1.193502953463703,1.199658292996917,1.2543088387690065,1.2275741828353888,1.1970202903398253,0.0061553395332141,0.0608058853053035,0.0546505457720893,0.0572885484291811
182,male,182,1.1062739398885286,1.1208249919854052,1.1430916063613812,1.129790309233217,1.1145888268010296,0.0145510520968765,0.0368176664728525,0.0222666143759759,0.0285027795603516
189,male,189,1.155198890445637,1.1388668447272816,1.1545015206407672,1.1504717476914783,1.1458662928922914,-0.0163320457183553,-0.0006973698048697,0.0156346759134855,0.0086352277484758
194,male,194,1.0964092911325618,1.2523570977173606,1.1846977328404993,1.1850825417994082,1.1855223234667327,0.1559478065847988,0.0882884417079374,-0.0676593648768613,-0.0008245906262334
195,male,195,1.123333073434826,1.2581132942362758,1.2367853902148034,1.2197823679312008,1.200350342464226,0.1347802208014499,0.1134523167799774,-0.0213279040214724,0.0364350477505774
