Participant ID,sex,overall_corr,DD_corr,DS_corr,SS_corr,DSSS_corr,source_file
102,female,0.2977822238295744,0.2856857387903583,-0.0012314660373139,0.5814808306411166,0.36068622555499,102_dist_est.csv
103,female,0.7621416477392975,0.7843950153751778,0.7233101014766449,0.7804417731912162,0.738375878160947,103_dist_est.csv
106,female,0.715964489602262,0.7125422682110307,0.6760892312698968,0.8815267590498126,0.7750889315123345,106_dist_est.csv
107,female,0.5570909873854752,0.5805876566770302,0.3990984887584753,0.6383990819554136,0.5428927661186271,107_dist_est.csv
113,female,-0.0347940971897204,-0.0389491874707385,0.0655431880315427,0.0735898559058423,0.0686853786023696,113_dist_est.csv
114,female,0.1401835559352389,0.1398062141990867,0.3775087767454529,0.1197969414699838,0.2185918905376254,114_dist_est.csv
115,female,0.4394362931236333,0.5019743685039609,0.4185750519341453,0.2905928396829622,0.3087040473721261,115_dist_est.csv
116,female,0.4320091677541141,0.473847224385336,0.3344324917550836,0.3956394887071556,0.3664124331961602,116_dist_est.csv
118,female,0.1723460592227457,0.2400128913292087,0.1104052562887427,-0.0229406003866175,0.0273456014769739,118_dist_est.csv
119,female,0.4473436187041031,0.4967054207801456,0.2408388734826151,0.8361114257478613,0.4569267202670387,119_dist_est.csv
120,female,0.3801415108180073,0.5471673013393671,0.2247320074218175,-0.1243003477773968,0.0033136438211454,120_dist_est.csv
121,female,0.4363915611384026,0.6861830111172135,0.1306358674626624,0.0400970700693167,0.070895083289269,121_dist_est.csv
123,female,0.7462153242743327,0.7847067113804619,0.6852226137536686,0.7232391872482349,0.7058330156793355,123_dist_est.csv
125,female,0.4948666430685854,0.6137170486450696,0.1932258193008078,0.3905212749175835,0.3121460711534833,125_dist_est.csv
127,female,0.6673488385436241,0.7089224197455742,0.5885038813772332,0.646250869040244,0.6006378201657996,127_dist_est.csv
128,female,0.7583078994009926,0.7961044345032265,0.5525406768537416,0.8380699267620811,0.7441497356740081,128_dist_est.csv
129,female,0.179744689992897,0.206949195828286,0.0699559198193686,0.2851052814986765,0.1149418830964575,129_dist_est.csv
131,female,0.2541463652661476,-0.0500182852316849,0.5422833548005065,0.6117009626543005,0.5788610566671728,131_dist_est.csv
132,female,0.6977961490247444,0.7505823773467568,0.6264880101369719,0.6884247581228579,0.6579732760467322,132_dist_est.csv
133,female,0.0266222023766604,0.0131645092579434,0.202853361061525,-0.070993408662983,0.0447565872400983,133_dist_est.csv
137,female,0.1305476716467746,0.1746746444576168,-0.2002952891867863,0.282561638651743,0.0719250955504318,137_dist_est.csv
139,female,0.0164235802413462,-0.01275105182308,0.5328649312751045,0.2773627001337235,0.3654900669727607,139_dist_est.csv
144,female,0.7968549420499068,0.8099764844977227,0.7473764443322364,0.8410619603610017,0.7889824691125725,144_dist_est.csv
146,female,0.6979530320030681,0.6694756821961205,0.7063558814064124,0.8493413037757452,0.7967829735344106,146_dist_est.csv
147,female,0.3678545336367989,0.5287283681287519,0.2202862469332445,0.2533569457029044,0.2333879853866259,147_dist_est.csv
151,female,0.6456715190853665,0.7071400424748628,0.7470805531877693,0.4262556040268316,0.5422851845195151,151_dist_est.csv
