Participant ID,sex,source_file,overall_input_mean,overall_input_median,overall_actual_mean,overall_actual_median,overall_ratio_mean,overall_ratio_median,SS_DS_input_mean,SS_DS_input_median,SS_DS_actual_mean,SS_DS_actual_median,SS_DS_ratio_mean,SS_DS_ratio_median,DD_input_mean,DD_input_median,DD_actual_mean,DD_actual_median,DD_ratio_mean,DD_ratio_median,DS_input_mean,DS_input_median,DS_actual_mean,DS_actual_median,DS_ratio_mean,DS_ratio_median,SS_input_mean,SS_input_median,SS_actual_mean,SS_actual_median,SS_ratio_mean,SS_ratio_median
102,female,102_dist_est.csv,25.8984375,25.0,76.66087875,74.558595,0.3555977318894185,0.3353035265003281,24.609375,25.0,78.04409625,74.558595,0.3198133417456658,0.3030161246433038,27.1875,25.0,75.27766125,72.006975,0.3913821220331713,0.3508351748281843,25.15625,25.0,78.79917,74.22909999999999,0.3271686510994408,0.3367976344254468,24.0625,25.0,77.2890225,82.00282999999999,0.3124580323918908,0.2798936180336577
103,female,103_dist_est.csv,33.8828125,35.0,76.66087875,74.558595,0.4362174010528332,0.4572830557726803,35.3125,35.0,78.04409625,74.558595,0.4453487872485581,0.4629558258385269,32.453125,35.0,75.27766125,72.006975,0.4270860148571082,0.4545071460859987,36.1875,35.0,78.79917,74.22909999999999,0.4514203995553217,0.4715166881956256,34.4375,35.0,77.2890225,82.00282999999999,0.4392771749417946,0.4517653181572312
106,female,106_dist_est.csv,53.4765625,50.0,76.66087875,74.558595,0.691509656960736,0.6754290527972084,51.171875,50.0,78.04409625,74.558595,0.6321698650914227,0.639590081875387,55.78125,60.0,75.27766125,72.006975,0.7508494488300492,0.738716793525886,48.4375,40.0,78.79917,74.22909999999999,0.6002854255539646,0.5750269916340036,53.90625,60.0,77.2890225,82.00282999999999,0.6640543046288809,0.7277234068875102
107,female,107_dist_est.csv,50.234375,40.0,76.66087875000001,74.558595,0.6691424369704992,0.6706070530006562,50.0,40.0,78.04409625,74.558595,0.6433634200909397,0.5597872360673155,50.46875,40.0,75.27766125,72.006975,0.6949214538500587,0.7016703496563687,51.5625,45.0,78.79917,74.22909999999999,0.6578941642978197,0.6097107410302405,48.4375,40.0,77.2890225,82.00282999999999,0.6288326758840598,0.5597872360673155
113,female,113_dist_est.csv,27.8671875,15.0,76.66087875,74.558595,0.4072385528218887,0.2045279659740982,18.359375,15.0,78.04409625,74.558595,0.2459086862648442,0.2017066508434104,37.375,15.5,75.27766125,72.006975,0.5685684193789331,0.2118353619814006,18.71875,15.0,78.79917,74.22909999999999,0.2416565542837012,0.2150253303362657,18.0,15.0,77.2890225,82.00282999999999,0.2501608182459872,0.1955561230552728
114,female,114_dist_est.csv,12.6171875,11.0,76.66087875,74.558595,0.1745871570330098,0.1492371147928902,11.828125,11.0,78.04409625,74.558595,0.1576846811221455,0.1433747043514717,13.40625,11.0,75.27766125,72.006975,0.1914896329438741,0.1532831596941752,12.78125,12.0,78.79917,74.22909999999999,0.1635462989307783,0.1612227563770989,10.875,10.0,77.2890225,82.00282999999999,0.1518230633135127,0.1338938845441067
115,female,115_dist_est.csv,4.3828125,4.0,76.66087875,74.558595,0.0607398846726397,0.0535575538176426,4.40625,4.0,78.04409625,74.558595,0.0588003543829359,0.0538876215080715,4.359375,4.0,75.27766125,72.006975,0.0626794149623435,0.0515521912071068,4.09375,4.0,78.79917,74.22909999999999,0.052548897746306,0.0537409187923663,4.71875,5.0,77.2890225,82.00282999999999,0.0650518110195658,0.0559787236067315
116,female,116_dist_est.csv,73.28125,80.0,76.66087875,74.558595,1.028650374004929,0.925063288876926,73.515625,80.0,78.04409625,74.558595,0.978334266399841,0.9090483739299116,73.046875,80.0,75.27766125,72.006975,1.0789664816100173,0.9442568087870564,73.90625,80.0,78.79917,74.22909999999999,0.9519465946257282,0.9300833927307264,73.125,80.0,77.2890225,82.00282999999999,1.0047219381739538,0.890928194665289
118,female,118_dist_est.csv,22.9140625,20.0,76.66087875,74.558595,0.320155275930743,0.2735952093455453,24.375,20.0,78.04409625,74.558595,0.3313083465759885,0.2834044702333779,21.453125,20.0,75.27766125,72.006975,0.3090022052854975,0.2732025220556337,23.4375,20.0,78.79917,74.22909999999999,0.3027996225384787,0.2834044702333779,25.3125,20.0,77.2890225,82.00282999999999,0.3598170706134982,0.2844823239298504
119,female,119_dist_est.csv,20.78125,20.0,76.66087875,74.558595,0.2744120632576399,0.2677877690882134,22.21875,20.0,78.04409625,74.558595,0.2812414940144514,0.2677877690882134,19.34375,20.0,75.27766125,72.006975,0.2675826325008283,0.2597183691919992,23.40625,20.0,78.79917,74.22909999999999,0.2984826962522338,0.2694381075403574,21.03125,20.0,77.2890225,82.00282999999999,0.264000291776669,0.2677877690882134
120,female,120_dist_est.csv,11.5859375,11.0,76.66087875,74.558595,0.1575173242879936,0.1404416400123173,11.640625,11.0,78.04409625,74.558595,0.1589039466243087,0.1430469457354314,11.53125,9.5,75.27766125,72.006975,0.1561307019516785,0.1403340699312737,11.625,11.0,78.79917,74.22909999999999,0.1497305816660487,0.1481909591471966,11.65625,11.5,77.2890225,82.00282999999999,0.1680773115825687,0.1374490733747582
121,female,121_dist_est.csv,205.859375,200.0,76.66087875,74.558595,2.8488479688575934,2.7017162111888338,203.515625,200.0,78.04409625,74.558595,2.7484892706962043,2.682461815250225,208.203125,200.0,75.27766125,72.006975,2.949206667018984,2.7701879757220724,201.5625,200.0,78.79917,74.22909999999999,2.608989741892203,2.687045939618316,205.46875,200.0,77.2890225,82.00282999999999,2.887988799500205,2.6778776908821347
123,female,123_dist_est.csv,4.0625,4.0,76.66087875000001,74.558595,0.0522676150250473,0.0535575538176426,3.8125,4.0,78.04409625,74.558595,0.0479753419625136,0.0475839294009567,4.3125,4.0,75.27766125,72.006975,0.0565598880875811,0.0596911696278027,3.875,3.0,78.79917,74.22909999999999,0.0486694424489718,0.045728305577268,3.75,4.0,77.2890225,82.00282999999999,0.0472812414760553,0.0535575538176426
125,female,125_dist_est.csv,10.0390625,10.0,76.66087875,74.558595,0.1362887273000246,0.1346138429076324,10.203125,10.5,78.04409625,74.558595,0.1352041417913175,0.1343522969809158,9.875,10.0,75.27766125,72.006975,0.1373733128087317,0.1346931232695301,9.9375,10.0,78.79917,74.22909999999999,0.1283617726916089,0.1350858105594417,10.46875,11.0,77.2890225,82.00282999999999,0.1420465108910261,0.1341214106001312
127,female,127_dist_est.csv,25.390625,30.0,76.66087875,74.558595,0.3375719136982698,0.3358723416403893,26.09375,30.0,78.04409625000001,74.558595,0.3374448692045474,0.3358723416403893,24.6875,20.0,75.27766125,72.006975,0.337698958191992,0.3363364063643368,25.9375,30.0,78.79917,74.22909999999999,0.3275458169224343,0.3048553705151202,26.25,30.0,77.2890225,82.00282999999999,0.3473439214866607,0.3358723416403893
128,female,128_dist_est.csv,10.0546875,10.0,76.66087875,74.558595,0.1341732836324162,0.1289091386255541,9.875,10.0,78.04409625,74.558595,0.1257571646349441,0.120504496089696,10.234375,9.5,75.27766125,72.006975,0.1425894026298882,0.1403340699312737,10.21875,10.0,78.79917,74.22909999999999,0.1304037967437726,0.1314475676824969,9.53125,9.5,77.2890225,82.00282999999999,0.1211105325261157,0.116214099361029
129,female,129_dist_est.csv,37.234375,30.0,76.66087875,74.558595,0.4955775863283434,0.405257431678325,35.234375,30.0,78.04409625,74.558595,0.4601257980482739,0.4023692722875338,39.234375,30.0,75.27766125,72.006975,0.531029374608413,0.4477113443786707,40.78125,30.0,78.79917,74.22909999999999,0.5225814603272301,0.405257431678325,29.6875,30.0,77.2890225,82.00282999999999,0.3976701357693177,0.3358723416403893
131,female,131_dist_est.csv,18.6796875,20.0,76.66087875,74.558595,0.2599609392728998,0.2359938068931903,19.921875,20.0,78.04409625,74.558595,0.2505407150082552,0.2379196470047836,17.4375,15.0,75.27766125,72.006975,0.2693811635375446,0.2359938068931903,21.25,20.0,78.79917,74.22909999999999,0.266308858502814,0.2579511800425293,18.59375,20.0,77.2890225,82.00282999999999,0.2347725715136963,0.2239148944269262
132,female,132_dist_est.csv,21.8046875,21.0,76.66087875,74.558595,0.290080478281347,0.2821398236599232,20.9375,20.0,78.04409625,74.558595,0.2685861179505908,0.2613123954213434,22.671875,23.0,75.27766125,72.006975,0.3115748386121031,0.3061617148982219,20.5,19.5,78.79917,74.22909999999999,0.2597440947099899,0.2578950525003957,21.375,20.5,77.2890225,82.00282999999999,0.2774281411911918,0.2939247762425516
133,female,133_dist_est.csv,6.5703125,6.0,76.66087875,74.558595,0.0955086880272128,0.0852678476263563,6.65625,6.0,78.04409625,74.558595,0.0904541175328772,0.081051486335665,6.484375,6.0,75.27766125,72.006975,0.1005632585215484,0.0874050582510452,6.5625,6.0,78.79917,74.22909999999999,0.084085357834669,0.0862540487451005,6.75,6.0,77.2890225,82.00282999999999,0.0968228772310853,0.080336330726464
137,female,137_dist_est.csv,55.1171875,60.0,76.66087875000001,74.558595,0.7788915795331299,0.7819700278797252,54.578125,55.0,78.04409625,74.558595,0.7330160397544686,0.7765856389410637,55.65625,60.0,75.27766125,72.006975,0.8247671193117914,0.7819700278797252,55.0,55.0,78.79917,74.22909999999999,0.7252155634298425,0.7765856389410637,54.15625,55.0,77.2890225,82.00282999999999,0.7408165160790947,0.7529421969287187
