Participant ID,sex,overall_corr,DD_corr,DS_corr,SS_corr,DSSS_corr,source_file
104,male,0.8253240743860646,0.8711298674367597,0.8608137967174107,0.8794025164853936,0.8527846660920301,104_dist_est.csv
108,male,0.0754426831917078,0.1958339843636724,-0.113594551386435,-0.1849662633240323,-0.1401024197312377,108_dist_est.csv
111,male,0.7412780865231856,0.769515102318362,0.6013296243038165,0.8963628514406535,0.790708976764859,111_dist_est.csv
112,male,0.4541261521244135,0.4734220795777262,0.1022807590776198,0.8155164975205286,0.4178022452360842,112_dist_est.csv
124,male,0.7052289155022902,0.7677132020854436,0.7009092113237598,0.6957343333132741,0.687334373359791,124_dist_est.csv
130,male,0.8004512851438859,0.7629852895881546,0.8250527750413496,0.9522016987659632,0.8867611490023974,130_dist_est.csv
134,male,0.6794442619273529,0.7179664697887824,0.6142393169966511,0.7349782320578626,0.673065957807504,134_dist_est.csv
135,male,0.2879735861338264,0.2435064026911558,0.7370079994940193,0.5846965879138352,0.6315898486601098,135_dist_est.csv
136,male,0.3048392855214066,0.3385197542572611,0.538007327557513,0.361050188762561,0.4204826880199641,136_dist_est.csv
138,male,0.7817945904983603,0.8384122361598142,0.743808914902623,0.8234387330133228,0.7906572278853335,138_dist_est.csv
141,male,0.7966910577091386,0.8078304827617303,0.8603203775834873,0.8735170629299811,0.8628182895231467,141_dist_est.csv
142,male,0.7470010014105316,0.7841406034177377,0.5674211173977994,0.7860140886791622,0.6974185401844757,142_dist_est.csv
145,male,0.5474045663556932,0.650565340962068,0.3256439492003259,0.4226986043668634,0.3716389647974533,145_dist_est.csv
149,male,0.385314627255752,0.432645349762936,0.2894634298773069,0.4689526847876148,0.3611158388213056,149_dist_est.csv
167,male,0.835682906580926,0.9053422675843324,0.8338512271284706,0.7202454194938338,0.7447084527627543,167_dist_est.csv
174,male,0.7241834688249039,0.7720220805703631,0.5722655250920275,0.7585636879410091,0.6643727562760764,174_dist_est.csv
177,male,0.6882713128920863,0.6831431806438343,0.8335885749108606,0.6853473490107558,0.7298223211228555,177_dist_est.csv
178,male,0.5568128194604558,0.7483812646121301,0.3290543283699382,0.3200091872148754,0.3224284906024435,178_dist_est.csv
182,male,0.3252880573189025,0.2433630226488068,0.4686480563949334,0.4796832114092604,0.464934464515166,182_dist_est.csv
189,male,0.8998693330001296,0.9004442726396057,0.989012508406812,0.9643711481484948,0.9626652161721928,189_dist_est.csv
194,male,0.8922600130077037,0.9079857591620653,0.8843023624642152,0.9301830606784404,0.9143219710708128,194_dist_est.csv
195,male,0.2239684233797479,0.4763486709389999,0.3882754992377509,0.2073499499391904,0.2043510450736191,195_dist_est.csv
