Participant ID,sex,source_file,overall_input_mean,overall_input_median,overall_actual_mean,overall_actual_median,overall_ratio_mean,overall_ratio_median,SS_DS_input_mean,SS_DS_input_median,SS_DS_actual_mean,SS_DS_actual_median,SS_DS_ratio_mean,SS_DS_ratio_median,DD_input_mean,DD_input_median,DD_actual_mean,DD_actual_median,DD_ratio_mean,DD_ratio_median,DS_input_mean,DS_input_median,DS_actual_mean,DS_actual_median,DS_ratio_mean,DS_ratio_median,SS_input_mean,SS_input_median,SS_actual_mean,SS_actual_median,SS_ratio_mean,SS_ratio_median
104,male,104_dist_est.csv,54.8828125,55.0,76.66087875,74.558595,0.7289286065836955,0.6925469939305181,53.828125,57.5,78.04409625,74.558595,0.6774786164818088,0.671761484904579,55.9375,55.0,75.27766125,72.006975,0.7803785966855818,0.7016703496563687,52.8125,50.0,78.79917,74.22909999999999,0.6572718121530647,0.671761484904579,54.84375,60.0,77.2890225,82.00282999999999,0.6976854208105531,0.6717446832807786
108,male,108_dist_est.csv,286.5625,300.0,76.66087875,74.558595,4.121601978237713,4.016254126638184,288.75,300.0,78.04409625,74.558595,3.956823068259027,4.016816536323202,284.375,300.0,75.27766125,72.006975,4.286380888216399,3.895775537879989,288.4375,300.0,78.79917,74.22909999999999,3.768875287808035,4.030568909427474,289.0625,300.0,77.2890225,82.00282999999999,4.144770848710019,3.967101184712188
111,male,111_dist_est.csv,61.40625,60.0,76.66087875,74.558595,0.7968082821658656,0.7847849481834527,58.125,50.0,78.04409625000001,74.558595,0.7164469160968534,0.6754290527972084,64.6875,60.0,75.27766125,72.006975,0.8771696482348779,0.8081587396171805,55.625,50.0,78.79917,74.22909999999999,0.6993768914547658,0.6754290527972084,60.625,60.0,77.2890225,82.00282999999999,0.733516940738941,0.7837021304942418
112,male,112_dist_est.csv,32.921875,35.0,76.66087875,74.558595,0.4397814920353212,0.4501069299881735,33.90625,35.0,78.04409625,74.558595,0.4355814408125342,0.4478297888538524,31.9375,34.5,75.27766125,72.006975,0.4439815432581082,0.4545071460859987,33.15625,35.0,78.79917,74.22909999999999,0.4258683750510958,0.4637580476029428,34.65625,36.5,77.2890225,82.00282999999999,0.4452945065739727,0.4478297888538524
124,male,124_dist_est.csv,27.6171875,25.0,76.66087875,74.558595,0.3597874028023384,0.3418956994855611,27.109375,25.0,78.04409625,74.558595,0.3371266491234676,0.3358807424522895,28.125,25.0,75.27766125,72.006975,0.3824481564812092,0.3730927869822256,26.90625,25.0,78.79917,74.22909999999999,0.333387028632945,0.3358807424522895,27.3125,30.0,77.2890225,82.00282999999999,0.3408662696139902,0.3358723416403893
130,male,130_dist_est.csv,26.4453125,28.0,76.66087875,74.558595,0.3477482209871978,0.3324225570866487,26.828125,29.0,78.04409625000001,74.558595,0.3381906639603443,0.324676596919043,26.0625,26.0,75.27766125,72.006975,0.3573057780140511,0.3324835814147191,27.3125,24.0,78.79917,74.22909999999999,0.3420607426307346,0.32420594534266,26.34375,29.0,77.2890225,82.00282999999999,0.3343205852899542,0.343044425722414
134,male,134_dist_est.csv,59.140625,60.0,76.66087875,74.558595,0.7765174150648468,0.7842435393388472,57.5,60.0,78.04409625,74.558595,0.7237048914982247,0.7446792809606528,60.78125,65.0,75.27766125,72.006975,0.829329938631469,0.8143299801914075,57.34375,55.0,78.79917,74.22909999999999,0.7180318212130029,0.7271460857164183,57.65625,60.0,77.2890225,82.00282999999999,0.7293779617834467,0.7446792809606528
135,male,135_dist_est.csv,71.5546875,75.0,76.66087875,74.558595,0.9419928753634416,0.8396808541009734,68.75,75.0,78.04409625,74.558595,0.8767795783738213,0.8396808541009734,74.359375,75.0,75.27766125,72.006975,1.007206172353062,0.8408410159108421,70.3125,62.5,78.79917,74.22909999999999,0.8784773703257283,0.7621384262878006,67.1875,75.0,77.2890225,82.00282999999999,0.8750817864219143,0.8396808541009734
136,male,136_dist_est.csv,186.2109375,150.0,76.66087875,74.558595,2.393010407741579,2.078991674525266,156.796875,150.0,78.04409625,74.558595,2.054813000784838,2.0078458584765837,215.625,150.0,75.27766125,72.006975,2.73120781469832,2.338901165521229,156.25,150.0,78.79917,74.22909999999999,1.9784327613926085,1.996433291849777,157.34375,150.0,77.2890225,82.00282999999999,2.131193240177069,2.0078458584765837
138,male,138_dist_est.csv,40.15625,40.0,76.66087875,74.558595,0.5327029215921149,0.5194367383839985,41.5625,40.0,78.04409625,74.558595,0.5270637504004594,0.5355755381764269,38.75,40.0,75.27766125,72.006975,0.5383420927837703,0.4917973497722592,40.15625,40.0,78.79917,74.22909999999999,0.5092398526693283,0.5139462153239573,42.96875,45.0,77.2890225,82.00282999999999,0.5448876481315904,0.5355755381764269
