Participant ID,sex,Unnamed: 0,first_row,blank,not_blank,DD,DS,SS,merged,SS_DS
102,female,102,0.4951286000141408,,0.6365959071408724,0.5968264209636066,0.5808139836041593,0.5671143099961531,0.585563215506572,0.5740207570216769
103,female,103,0.5429715998470783,,0.7554708265078565,0.6865737437652955,0.6800365078425596,0.6733143298847911,0.6816655702044718,0.6767573966436482
104,male,104,0.4448975999839604,,0.4853221124940319,0.4869483656026423,0.5048149593931157,0.473175596819067,0.488042721036075,0.4891198425256742
106,female,106,0.53903430000355,,0.5806148812525862,0.5113579047266091,0.5033586359400033,0.5170360825425069,0.5107507078764468,0.5101435110262846
107,female,107,0.5329177000021446,,0.57183154666612,0.5303703119041328,0.5399968746021928,0.5259386741926128,0.5316918733059796,0.5330240071990411
108,male,108,0.8045129999954952,,0.6107241187473846,0.5254776285698411,0.5218527234364956,0.5341540499988872,0.5266916928558203,0.5279057571417994
111,male,111,0.5090855000016745,,0.5320403312471171,0.5022926742162781,0.509706132809697,0.495589439680482,0.5024972137230376,0.5027033637770943
112,male,112,0.4624196999939158,,0.4534966437377079,0.4509829826647045,0.4574052269719744,0.4530966467622596,0.4531085722099681,0.4552681711879559
113,female,113,0.5837010999966878,1.5720364000007976,0.6886773285742882,0.5551095719101284,0.5900015159105269,0.6083388383013563,0.5775374666679353,0.5994724406618344
114,female,114,0.4238697999971919,,0.6217234066765135,0.5529367055145357,0.534676829030955,0.5077020557431244,0.5373710016023834,0.5212990959369903
115,female,115,0.7971360000083223,,0.58441749285391,0.6430245547199551,0.6179366632642661,0.6397448071449097,0.6363280023714656,0.6295676733339427
116,female,116,0.567305899981875,,0.6322560750013508,0.5476071297591322,0.5466156000038609,0.5625655322594778,0.5511416036782938,0.5545905661316693
118,female,118,0.6022363000083715,,0.5747776750031335,0.5447879853682986,0.564344408195733,0.5475784222233213,0.5503294400822254,0.5558262056452334
119,female,119,0.6745233000256121,,0.6638227230824458,0.5908047833266513,0.5901355999861456,0.5733714519941714,0.5865416353692537,0.5815824632555465
120,female,120,0.8524153999751434,,0.5792237333254888,0.5871235769849995,0.5975090370977283,0.6054988306413795,0.5942562339997385,0.6015039338695539
121,female,121,0.4616089999908581,,0.5649390624967054,0.536465693649093,0.5257934306385822,0.5305762741866807,0.5323583963958081,0.5281848524126315
123,female,123,0.5344710000790656,,0.5200323928729631,0.596841615010635,0.5580238435443701,0.587370040001891,0.5845482417402504,0.5724563991792164
124,male,124,0.5389530999818817,,0.5714292799976344,0.5689072571426911,0.5616986562490638,0.5834502508386307,0.5705003742947725,0.5721323479627585
125,female,125,0.8552480000071228,,0.5843409437438822,0.6064608777754955,0.6045402564510193,0.598521347545072,0.6040376253009037,0.6015552691074194
127,female,127,0.6855650999350473,,0.5792912625038298,0.583867152496047,0.5345547779530319,0.5661298000040309,0.567240912966512,0.5504749571384095
128,female,128,0.6517481999471784,,0.492961139883846,0.5694245810708086,0.5784522464322247,0.5637641612914178,0.5703549545131089,0.5711720651015639
129,female,129,0.5394385999534279,,0.6260728812339948,0.552843622399494,0.5455270416491355,0.5453716534478911,0.5492536263327678,0.5454506643976763
130,male,130,0.7580290001351386,,0.6382931215588802,0.6053582761505972,0.614733932894792,0.5851007230831768,0.6026266067032031,0.5999173279889845
131,female,131,0.556150000076741,,0.6141825938830152,0.550193349324492,0.5489491119830854,0.561378495298296,0.5527037503254347,0.5553178869049288
132,female,132,0.8771208999678493,,0.6324513666797429,0.587650424355398,0.5841085704837422,0.5729236231958826,0.5831644159454675,0.5787550914399804
133,female,133,0.7232023999094963,,0.6780619272454218,0.6437844733319555,0.6408327281387756,0.6014686593916849,0.6321025225878393,0.6211506937652302
