Participant ID,sex,Unnamed: 0,first_row,blank,not_blank,DD,DS,SS,merged,SS_DS
104,male,104,0.4448975999839604,,0.4853221124940319,0.4869483656026423,0.5048149593931157,0.473175596819067,0.488042721036075,0.4891198425256742
108,male,108,0.8045129999954952,,0.6107241187473846,0.5254776285698411,0.5218527234364956,0.5341540499988872,0.5266916928558203,0.5279057571417994
111,male,111,0.5090855000016745,,0.5320403312471171,0.5022926742162781,0.509706132809697,0.495589439680482,0.5024972137230376,0.5027033637770943
112,male,112,0.4624196999939158,,0.4534966437377079,0.4509829826647045,0.4574052269719744,0.4530966467622596,0.4531085722099681,0.4552681711879559
124,male,124,0.5389530999818817,,0.5714292799976344,0.5689072571426911,0.5616986562490638,0.5834502508386307,0.5705003742947725,0.5721323479627585
130,male,130,0.7580290001351386,,0.6382931215588802,0.6053582761505972,0.614733932894792,0.5851007230831768,0.6026266067032031,0.5999173279889845
134,male,134,0.6020513002295047,,0.526955925146467,0.5035475968822627,0.4860202079071314,0.4883671791270195,0.4952958417013287,0.4871750667613621
135,male,135,0.9391350999940188,,0.5625585000962019,0.5552421615213361,0.5492983438598458,0.5529696743056599,0.5531816929928487,0.551104871539532
136,male,136,0.4324859001208097,,0.5947888250957476,0.5392365563693602,0.5269884099443367,0.51093883454021,0.5293433645153418,0.5189636222422733
138,male,138,0.655391399981454,,0.6463970142940525,0.6528302811978696,0.6463679084722032,0.6441558081977313,0.6489888345994613,0.6452434241660133
141,male,141,0.5340403001755476,,0.5108970751171,0.5023128363545838,0.5097281220078003,0.4927080791451097,0.5018349048716528,0.5013531802817144
142,male,142,0.4797426001168787,,0.5438929249939974,0.5222628796909703,0.5031709484319435,0.5255630761791493,0.5182865219583334,0.5142788543222897
145,male,145,0.4511104000266641,,0.5254325312562287,0.5103076531067927,0.5126540937417303,0.5100043209667708,0.510824840539685,0.511350237296909
149,male,149,0.8082823000004282,,0.579242281250572,0.5837398128209875,0.5939737887102315,0.6032836000003641,0.5911999232072195,0.5984735308337955
167,male,167,0.5570379002019763,,0.4362832145831947,0.5001336979524543,0.4948434862744761,0.4959243765795633,0.4977472916525225,0.4953796759533777
174,male,174,0.5250992993824184,,0.5863910797983408,0.5397471344556599,0.5294691787642096,0.5433351997912053,0.5380533641422929,0.5363458233385733
177,male,177,0.5857156999991275,,0.4684768428726654,0.5054271000018719,0.5475221650789507,0.5326738612934752,0.5228619927726966,0.5401574064013548
178,male,178,0.6917225000215694,,0.5839762400020845,0.5076210262319722,0.514034515255628,0.4943425177423764,0.5057902786025102,0.5039444008273504
182,male,182,0.7286482999916188,,0.6969813266652636,0.6786807938588665,0.6734993457636338,0.6539575448284801,0.6711498246753983,0.6638119572658653
189,male,189,0.6568264999659732,,0.550482919998467,0.5772049685427544,0.5817115177351591,0.5672807254122129,0.5759554816253141,0.5746750156933919
194,male,194,0.4117071999935433,,0.4708242733497172,0.4604786193531547,0.4652194600009049,0.4878095254159958,0.4682850962937828,0.4764195764672105
195,male,195,0.6518274999689311,,0.6449612466618418,0.6102529661399936,0.6164736484261084,0.6145878083402446,0.6128753334640031,0.6155611451587549
