Participant ID,sex,Filename,DD_mean,DS_mean,SS_mean,DD_median,DS_median,SS_median,Overall_mean,Overall_median,DD_DS_combined_mean
102,female,102_jrd.csv,71.39245640625,72.6067898125,22.226302125,59.88659,50.52510000000001,13.84118,59.4045011875,43.05452,71.79723420833334
103,female,103_jrd.csv,32.345882194375,24.4724521875,29.632972125,35.149295,17.111095,28.055745,29.699297175312505,31.74309,29.721405525416667
104,male,104_jrd.csv,16.7455280915625,16.831470125,18.29508535,15.75723,8.247301,17.551115000000003,17.154402914531246,16.47145,16.774175436041663
106,female,106_jrd.csv,49.70077540625,35.9734486875,38.574575875,45.76808,25.82388,32.892070000000004,43.48739384375,42.333070000000006,45.12499983333333
107,female,107_jrd.csv,28.219554,35.9727291875,20.72399818125,20.07088,21.12512,16.74576,28.2839588421875,19.96329,30.803945729166667
108,male,108_jrd.csv,65.50128846875,69.169884,76.9188021125,53.554120000000005,62.466975,63.32977,69.2728157625,60.386795,66.72415364583334
111,male,111_jrd.csv,36.0771091625,23.61860525625,27.493884125,29.08184,13.551805,20.070285,30.816676926562497,21.86372,31.924274527083337
112,male,112_jrd.csv,40.175436290625,35.508543562499995,15.650058125,31.18769,27.861754999999995,17.0883,32.8773685671875,20.026325,38.61980538125
113,female,113_jrd.csv,96.157548125,72.2856724375,83.330065522,88.947395,63.735540000000015,66.38755499999999,86.982708552375,84.20733999999999,88.20025622916667
114,female,114_jrd.csv,82.82254565625,79.12021056249999,72.726866625,83.37030000000001,83.86505,66.05483,79.373042125,82.27215000000001,81.58843395833334
115,female,115_jrd.csv,52.056838,51.1375195,53.450276625,46.14106,36.36464,36.830505,52.17536803125,42.15967,51.7503985
116,female,116_jrd.csv,51.395619475,59.854606875,69.1919118125,28.87128,57.81243999999999,47.071625,57.959439409374994,38.99678,54.21528194166666
118,female,118_jrd.csv,69.244688875,61.871890375,23.233119375,56.85159999999999,47.18780000000001,16.69568,55.898596875,45.0,66.787089375
119,female,119_jrd.csv,32.180611603125,30.782416125,35.0367906875,21.256415,16.818044999999998,24.533275000000003,32.5451075046875,22.782490000000003,31.71454644375
120,female,120_jrd.csv,81.45114381249999,96.0323405875,102.2121238125,78.4724,100.7073,114.9201,90.28668800625,100.8609,86.3115427375
121,female,121_jrd.csv,76.03438696875,82.391388375,91.761115875,68.73744500000001,81.59376499999999,102.3859,81.55531954687501,78.97491500000001,78.1533874375
123,female,123_jrd.csv,13.580244140625,20.1988355625,21.9150827625,8.589460500000001,10.112226,16.224745,17.318601651562503,9.9201645,15.78644128125
124,male,124_jrd.csv,22.36644659375,16.4941763125,30.7924560625,15.506620000000002,9.881094,13.85282,23.004881390625,12.590425,20.409023166666667
125,female,125_jrd.csv,80.0900581875,62.340220125,52.84396190625,85.07395,46.77395000000001,40.91577499999998,68.8410746015625,50.34490000000002,74.1734455
