Participant ID,sex,Filename,DD_mean,DS_mean,SS_mean,DD_median,DS_median,SS_median,Overall_mean,Overall_median,DD_DS_combined_mean
104,male,104_jrd.csv,16.7455280915625,16.831470125,18.29508535,15.75723,8.247301,17.551115000000003,17.154402914531246,16.47145,16.774175436041663
108,male,108_jrd.csv,65.50128846875,69.169884,76.9188021125,53.554120000000005,62.466975,63.32977,69.2728157625,60.386795,66.72415364583334
111,male,111_jrd.csv,36.0771091625,23.61860525625,27.493884125,29.08184,13.551805,20.070285,30.816676926562497,21.86372,31.924274527083337
112,male,112_jrd.csv,40.175436290625,35.508543562499995,15.650058125,31.18769,27.861754999999995,17.0883,32.8773685671875,20.026325,38.61980538125
124,male,124_jrd.csv,22.36644659375,16.4941763125,30.7924560625,15.506620000000002,9.881094,13.85282,23.004881390625,12.590425,20.409023166666667
130,male,130_jrd.csv,35.646163259375,24.291448425,27.06858093125,23.53059,22.04847,29.315620000000003,30.66308896875,23.05582,31.86125831458333
134,male,134_jrd.csv,28.8916499375,18.40030644375,31.1171033125,13.84733,17.995365,22.48801,26.825177407812497,17.995365,25.394535439583333
135,male,135_jrd.csv,58.17427653125,26.5432004375,35.8569671875,62.87774000000001,14.286395,19.20828,44.687180171875,29.11965,47.6305845
136,male,136_jrd.csv,25.777194771875,21.771316175,25.8223785625,15.50541,15.59202,14.0403,24.7870210703125,15.002245,24.44190190625
138,male,138_jrd.csv,25.5238855625,23.261835,20.453293375,26.891375,18.62727,12.13559,23.690724875,22.26652,24.76986870833333
141,male,141_jrd.csv,25.3670424375,26.9475111875,23.6685782,18.619215,27.84459,19.495765,25.337543565625,20.717155,25.893865354166667
142,male,142_jrd.csv,62.55188965625,59.790162,43.5902463125,61.57544999999999,56.91149999999999,31.023225,57.12104690625,52.76494,61.63131377083332
145,male,145_jrd.csv,28.33991588125,26.3819914375,49.080435875,23.78276,23.20742,31.63135,33.03556476875,25.700105,27.6872744
149,male,149_jrd.csv,27.21778595,31.447938,29.1931956125,17.754995,20.433175,11.912995,28.769176378125,16.846225,28.62783663333333
167,male,167_jrd.csv,28.50275303125,34.63751939375,33.516773676875005,20.654515,25.208925,25.88351,31.289949783281244,22.188035,30.547675152083333
174,male,174_jrd.csv,40.632032459375,38.032793125,43.8567216875,28.12265,36.027705,24.740775,40.788394932812494,29.176785,39.76561934791666
177,male,177_jrd.csv,17.702210090624998,25.745324525,15.328981,14.15135,17.6286,14.290455,19.1196814265625,14.814485,20.38324823541667
178,male,178_jrd.csv,66.99859633125,50.8396128125,47.1037510625,64.03790000000001,29.70097,26.57824,57.98513913437499,45.32491999999999,61.61226849166667
182,male,182_jrd.csv,85.81619915625,85.78848675,73.780829125,83.85616999999999,92.840655,80.36918499999999,82.800428546875,83.85616999999999,85.8069616875
189,male,189_jrd.csv,20.02404003125,28.1354435625,25.3449075,18.958955,27.434115,21.0692,23.38210778125,21.17186,22.72784120833333
194,male,194_jrd.csv,16.013442384375,22.3414405625,16.05399675,15.450175000000002,16.82113,14.54193,17.6055805203125,16.168195,18.12277511041667
195,male,195_jrd.csv,29.251650846875,35.47239866875,23.941185803125,16.056175,18.228695,11.894453,29.479221541406247,15.504175,31.325233454166668
