Participant ID,sex,source_file,overall_total_count,overall_count_of_yes,overall_percentage_of_yes,DD_mean,DD_median,DD_total_count,DD_count_of_yes,DD_percentage_of_yes,DS_mean,DS_median,DS_total_count,DS_count_of_yes,DS_percentage_of_yes,SS_mean,SS_median,SS_total_count,SS_count_of_yes,SS_percentage_of_yes,DSSS_percentage_of_yes
144,female,144_jrd.csv,64,64,1.0,22.13906310125,16.794849999999997,32,32,1.0,19.63110484375,12.51085,16,16,1.0,22.285950675,20.28099,16,16,1.0,1.0
145,male,145_jrd.csv,64,58,0.90625,35.98602838125,23.78276,32,30,0.9375,37.1245164375,23.20742,16,15,0.9375,66.144035875,31.63135,16,13,0.8125,0.875
146,female,146_jrd.csv,64,63,0.984375,23.179265840625,9.0541745,32,31,0.96875,18.117825625,15.273635,16,16,1.0,15.83235685,12.578915,16,16,1.0,1.0
147,female,147_jrd.csv,64,33,0.515625,165.167645203125,223.8294,32,12,0.375,97.33911301875,26.450275,16,11,0.6875,113.732576125,39.874935,16,10,0.625,0.65625
149,male,149_jrd.csv,64,51,0.796875,57.0171297,17.754995,32,27,0.84375,64.180363,20.433175,16,12,0.75,76.4739331125,11.912995,16,12,0.75,0.75
151,female,151_jrd.csv,64,52,0.8125,62.690439806250005,26.077055,32,27,0.84375,85.570415125,33.98335,16,12,0.75,66.7910395625,23.424455,16,13,0.8125,0.78125
153,female,153_jrd.csv,64,56,0.875,60.653220728125,25.77769,32,27,0.84375,57.6088075625,31.582210000000003,16,14,0.875,25.10440874375,13.35627,16,15,0.9375,0.90625
156,female,156_jrd.csv,64,41,0.640625,106.8263410625,44.01854,32,20,0.625,105.211971625,56.38365,16,11,0.6875,105.00740015625,42.717545,16,10,0.625,0.65625
157,female,157_jrd.csv,64,62,0.96875,21.9958805625,18.728955,32,32,1.0,36.44758410625,18.74277,16,15,0.9375,37.7829570625,32.84749,16,15,0.9375,0.9375
158,female,158_jrd.csv,64,52,0.8125,76.2148078125,39.612085,32,26,0.8125,67.469643625,41.255745000000005,16,14,0.875,85.769814375,36.33089,16,12,0.75,0.8125
159,female,159_jrd.csv,64,62,0.96875,27.8077872375,25.160455,32,32,1.0,54.8692639375,25.445410000000003,16,14,0.875,23.8671111875,20.501435,16,16,1.0,0.9375
160,female,160_jrd.csv,64,33,0.515625,152.37392296875,128.02564999999998,32,16,0.5,130.44790375,86.18119,16,10,0.625,119.762036,93.646125,16,7,0.4375,0.53125
161,female,161_jrd.csv,64,64,1.0,33.7369814321875,29.3042,32,32,1.0,35.9814259375,29.798025,16,16,1.0,29.3806968125,23.815095,16,16,1.0,1.0
162,female,162_jrd.csv,64,59,0.921875,46.15606440625,18.84715,32,30,0.9375,87.545269375,47.21566,16,13,0.8125,37.35900898125,24.407965,16,16,1.0,0.90625
163,female,163_jrd.csv,64,63,0.984375,15.70821770625,14.273885,32,32,1.0,20.941847075,19.474445000000003,16,16,1.0,36.3649803125,18.110135,16,15,0.9375,0.96875
164,female,164_jrd.csv,64,60,0.9375,62.23742378125,47.146805,32,29,0.90625,57.0853819375,31.110945,16,15,0.9375,33.191121125,24.492795,16,16,1.0,0.96875
165,female,165_jrd.csv,64,28,0.4375,137.50831065625,131.1358,32,14,0.4375,148.1636606875,185.1868,16,7,0.4375,138.6704775,164.88515,16,7,0.4375,0.4375
167,male,167_jrd.csv,64,57,0.890625,43.48730928125,20.654515,32,29,0.90625,50.61856939375,25.208925,16,14,0.875,48.984673676875005,25.88351,16,14,0.875,0.875
168,female,168_jrd.csv,64,59,0.921875,35.2062476846875,13.833325,32,30,0.9375,58.2935184375,28.041905,16,14,0.875,31.84317815625,11.132945,16,15,0.9375,0.90625
169,female,169_jrd.csv,64,31,0.484375,133.21193019375,62.27159999999999,32,17,0.53125,167.2978216125,202.11165,16,6,0.375,138.2821521875,105.086175,16,8,0.5,0.4375
171,female,171_jrd.csv,64,55,0.859375,64.7071011875,26.94248,32,27,0.84375,54.21827125,18.483195,16,14,0.875,56.880208125,34.74237,16,14,0.875,0.875
174,male,174_jrd.csv,64,63,0.984375,41.434769959375,28.12265,32,31,0.96875,38.032793125,36.027705,16,16,1.0,43.8567216875,24.740775,16,16,1.0,1.0
175,female,175_jrd.csv,64,16,0.25,156.5775490625,114.44609,32,7,0.21875,165.06348131250002,135.154,16,6,0.375,185.25864,221.179,16,3,0.1875,0.28125
176,female,176_jrd.csv,64,63,0.984375,30.0551251375,24.414720000000003,32,31,0.96875,13.1661983125,9.4554435,16,16,1.0,18.8200698125,13.3366,16,16,1.0,1.0
177,male,177_jrd.csv,64,63,0.984375,27.479735090625,14.15135,32,31,0.96875,25.745324525,17.6286,16,16,1.0,15.328981,14.290455,16,16,1.0,1.0
178,male,178_jrd.csv,64,43,0.671875,127.30745258125,87.59727000000001,32,19,0.59375,74.39633781250001,29.70097,16,12,0.75,87.39877606249999,26.57824,16,12,0.75,0.75
179,female,179_jrd.csv,64,30,0.46875,146.53544634375,175.88565,32,15,0.46875,146.5703275,139.816875,16,7,0.4375,131.357695625,111.059415,16,8,0.5,0.46875
180,female,180_jrd.csv,64,50,0.78125,75.273882709375,14.95982,32,23,0.71875,65.7305453125,16.29717,16,13,0.8125,60.051141125,26.6897,16,14,0.875,0.84375
181,female,181_jrd.csv,64,51,0.796875,73.28916809374999,22.766785,32,24,0.75,71.36765725000001,26.574245,16,13,0.8125,58.0194493125,39.73973,16,14,0.875,0.84375
182,male,182_jrd.csv,64,36,0.5625,144.64164915625,163.543,32,15,0.46875,133.55747425,110.7656,16,10,0.625,99.533266625,85.66958,16,11,0.6875,0.65625
184,female,184_jrd.csv,64,47,0.734375,75.59903046875,52.93438999999999,32,25,0.78125,101.36617475,54.2226,16,10,0.625,103.4813174375,70.8599,16,12,0.75,0.6875
186,female,186_jrd.csv,64,36,0.5625,113.00014315625,48.32266,32,18,0.5625,166.7693651875,193.2282,16,7,0.4375,100.335179125,42.189845000000005,16,11,0.6875,0.5625
