Participant ID,sex,Filename,Overall_accuracy,DD_accuracy,DS_accuracy,SS_accuracy,DSSS_accuracy
187,female,187_dist_comp.csv,0.84375,0.90625,0.6875,0.9375,0.8125
188,female,188_dist_comp.csv,0.6875,0.6875,0.75,0.625,0.6875
189,male,189_dist_comp.csv,0.875,0.96875,0.9375,0.71875,0.828125
190,female,190_dist_comp.csv,0.6875,0.6875,0.65625,0.71875,0.6875
191,female,191_dist_comp.csv,0.84375,0.875,0.96875,0.6875,0.828125
193,female,193_dist_comp.csv,0.6458333333333334,0.78125,0.5,0.65625,0.578125
194,male,194_dist_comp.csv,0.8333333333333334,1.0,0.53125,0.96875,0.75
195,male,195_dist_comp.csv,0.7916666666666666,0.90625,0.9375,0.53125,0.734375
196,female,196_dist_comp.csv,0.8229166666666666,0.96875,0.625,0.875,0.75
197,female,197_dist_comp.csv,0.6770833333333334,0.625,0.71875,0.6875,0.703125
